"happy","unit","province","age","gender","urban"
1,2,"北京",2,2,1
1,1,"安徽",4,2,1
1,2,"北京",3,2,1
1,2,"北京",2,1,1
1,2,"北京",3,1,1
1,14,"吉林",3,1,1
1,2,"北京",2,1,1
1,9,"河北",2,1,2
1,9,"河北",3,1,2
1,22,"山西",1,1,2
1,2,"北京",3,2,1
1,2,"北京",3,2,1
1,2,"北京",4,2,1
1,2,"北京",3,1,1
1,9,"河北",2,1,2
1,2,"北京",3,1,1
1,22,"山西",4,1,2
1,22,"山西",2,2,1
1,9,"河北",3,1,2
1,9,"河北",2,2,2
1,2,"北京",4,2,1
1,30,"重庆",4,1,1
0,2,"北京",4,2,1
1,2,"北京",3,2,1
1,10,"河南",4,2,2
1,22,"山西",2,1,1
1,1,"安徽",4,1,1
1,18,"内蒙古",3,1,1
1,1,"安徽",4,2,2
1,9,"河北",3,2,2
1,9,"河北",4,1,2
1,9,"河北",2,2,1
1,2,"北京",3,2,1
1,18,"内蒙古",4,1,1
1,21,"山东",2,1,1
0,9,"河北",3,2,1
0,10,"河南",4,2,2
1,18,"内蒙古",3,1,2
1,12,"湖北",2,2,2
1,22,"山西",3,2,1
1,2,"北京",3,2,1
1,1,"安徽",2,2,2
0,21,"山东",4,1,1
1,9,"河北",4,1,2
0,26,"天津",3,2,1
1,21,"山东",3,1,1
1,22,"山西",4,1,2
1,21,"山东",4,1,2
1,17,"辽宁",2,1,2
1,2,"北京",4,2,2
1,2,"北京",4,1,1
1,2,"北京",2,1,1
1,21,"山东",3,2,2
0,14,"吉林",4,1,2
1,9,"河北",3,2,1
0,27,"新疆",3,2,1
1,2,"北京",2,1,1
1,2,"北京",3,1,1
1,18,"内蒙古",4,2,2
0,18,"内蒙古",4,1,1
1,1,"安徽",3,2,2
1,10,"河南",2,2,2
1,10,"河南",1,2,1
1,1,"安徽",4,1,2
0,9,"河北",2,2,2
1,15,"江苏",4,2,1
1,12,"湖北",4,1,2
1,2,"北京",4,1,1
0,2,"北京",3,1,1
1,22,"山西",2,1,2
1,25,"四川",4,1,1
1,12,"湖北",2,1,1
1,10,"河南",2,2,2
1,12,"湖北",4,2,1
0,16,"江西",1,1,1
1,2,"北京",1,1,1
1,2,"北京",2,1,2
0,9,"河北",2,2,2
1,2,"北京",1,1,1
1,22,"山西",3,1,2
1,2,"北京",4,2,1
1,17,"辽宁",3,2,2
1,10,"河南",4,1,2
1,11,"黑龙江",2,2,1
0,9,"河北",2,1,2
1,21,"山东",3,1,2
0,1,"安徽",2,1,2
1,2,"北京",4,2,1
1,9,"河北",3,2,1
0,17,"辽宁",3,2,1
0,9,"河北",3,2,1
1,2,"北京",3,2,1
1,4,"甘肃",2,1,2
1,22,"山西",4,1,1
1,11,"黑龙江",4,2,1
1,25,"四川",2,2,2
1,9,"河北",4,2,2
1,28,"云南",3,1,1
1,13,"湖南",4,2,2
1,2,"北京",4,2,1
1,4,"甘肃",4,1,1
1,1,"安徽",2,1,1
1,22,"山西",3,2,1
1,2,"北京",4,2,1
1,21,"山东",3,1,1
1,18,"内蒙古",4,2,2
1,2,"北京",2,1,1
1,2,"北京",2,1,1
1,11,"黑龙江",4,1,1
1,2,"北京",1,1,1
1,9,"河北",3,1,1
1,2,"北京",2,1,1
1,11,"黑龙江",4,1,2
1,14,"吉林",2,2,1
0,18,"内蒙古",2,2,1
1,2,"北京",3,2,1
1,9,"河北",4,2,1
0,9,"河北",4,1,2
1,21,"山东",4,2,2
1,2,"北京",4,1,1
1,10,"河南",3,2,1
0,23,"陕西",1,1,2
0,13,"湖南",2,2,1
1,2,"北京",4,2,1
1,22,"山西",2,2,1
1,2,"北京",4,1,1
1,29,"浙江",2,1,2
1,2,"北京",4,2,1
0,9,"河北",2,2,1
1,14,"吉林",4,2,1
1,2,"北京",4,1,1
0,2,"北京",1,1,1
0,2,"北京",4,2,1
1,2,"北京",1,2,1
1,10,"河南",4,2,2
1,2,"北京",2,2,1
1,9,"河北",2,2,2
1,13,"湖南",3,1,1
1,9,"河北",1,1,1
1,22,"山西",4,1,2
1,10,"河南",3,1,2
1,21,"山东",4,1,1
1,2,"北京",4,1,1
1,2,"北京",2,2,1
1,12,"湖北",2,2,2
1,9,"河北",2,1,2
1,15,"江苏",2,1,2
1,2,"北京",1,1,1
1,18,"内蒙古",4,2,1
1,2,"北京",4,2,1
1,2,"北京",4,2,1
1,2,"北京",3,1,1
1,11,"黑龙江",4,2,1
1,2,"北京",3,1,1
1,21,"山东",3,1,1
1,9,"河北",4,2,2
0,2,"北京",4,1,1
0,22,"山西",3,2,1
1,2,"北京",4,2,1
1,9,"河北",2,2,2
1,3,"福建",3,2,2
1,9,"河北",2,2,2
1,9,"河北",4,2,1
